iter	RMSE
0	14.61349328
1	14.27735432
2	13.95175388
3	13.69072736
4	13.40841856
5	13.15046921
6	12.8955731
7	12.65390466
8	12.42232862
9	12.20042371
10	11.98214753
11	11.78169226
12	11.63105966
13	11.44710873
14	11.26297134
15	11.09631372
16	10.94205855
17	10.78168779
18	10.63882504
19	10.51014302
20	10.36488682
21	10.24209467
22	10.13389415
23	10.02075141
24	9.91971586
25	9.802049001
26	9.694573104
27	9.601761236
28	9.50906278
29	9.418543505
30	9.331465859
31	9.257139107
32	9.183182997
33	9.114277235
34	9.048042242
35	8.982347856
36	8.920231771
37	8.862285104
38	8.808315625
39	8.752861282
40	8.703696455
41	8.649902842
42	8.614073514
43	8.568555874
44	8.529911929
45	8.489243065
46	8.446029775
47	8.416209101
48	8.380981215
49	8.350450445
50	8.31735254
51	8.2859342
52	8.25298381
53	8.219646502
54	8.190084985
55	8.164994009
56	8.140767557
57	8.119183
58	8.093433227
59	8.072924689
60	8.048922425
61	8.028024195
62	8.004755351
63	7.98617036
64	7.967457997
65	7.957160213
66	7.940649229
67	7.928183804
68	7.911032811
69	7.897536582
70	7.882306043
71	7.874204436
72	7.86164518
73	7.848209536
74	7.836976932
75	7.825099161
76	7.814683273
77	7.805354589
78	7.790454105
79	7.777418595
80	7.764219758
81	7.753810094
82	7.743155164
83	7.728631489
84	7.718231677
85	7.708595818
86	7.699177144
87	7.696209747
88	7.688268546
89	7.678490647
90	7.670120629
91	7.667275972
92	7.654862899
93	7.650366891
94	7.642793319
95	7.633292507
96	7.621264789
97	7.612339995
98	7.601832075
99	7.595108342
100	7.58660711
101	7.580372183
102	7.571233417
103	7.562460541
104	7.552988427
105	7.550608975
106	7.545992044
107	7.53988548
108	7.532655429
109	7.519334052
110	7.515900794
111	7.509408312
112	7.504643771
113	7.495707824
114	7.491323065
115	7.483992
116	7.477846037
117	7.473987153
118	7.466946197
119	7.456062666
120	7.448418572
121	7.442431513
122	7.440728152
123	7.436037964
124	7.430843321
125	7.426780621
126	7.420578283
127	7.414881575
128	7.405623514
129	7.399872908
130	7.392084417
131	7.38587717
132	7.383422385
133	7.376831907
134	7.372150816
135	7.366657233
136	7.362877002
137	7.356512407
138	7.352804756
139	7.343048954
140	7.338552585
141	7.329427754
142	7.327112009
143	7.324394208
144	7.320965865
145	7.318225868
146	7.315466704
147	7.310477997
148	7.305708384
149	7.304509441
150	7.300269725
151	7.296410851
152	7.288824682
153	7.282906643
154	7.271331289
155	7.268485998
156	7.262047964
157	7.255535531
158	7.247789975
159	7.241102826
160	7.236432178
161	7.233729858
162	7.230146097
163	7.2227158
164	7.220361829
165	7.218623383
166	7.214894308
167	7.209010777
168	7.201729133
169	7.195999917
170	7.192964974
171	7.188531238
172	7.182397279
173	7.177266997
174	7.171425756
175	7.166096231
176	7.15923466
177	7.156281988
178	7.149341951
179	7.145590072
180	7.142478262
181	7.135211626
182	7.133287098
183	7.125054537
184	7.122791133
185	7.118011074
186	7.108644339
187	7.105916762
188	7.103580262
189	7.096659132
190	7.088080505
191	7.081039349
192	7.074455353
193	7.070461403
194	7.063459007
195	7.062801415
196	7.061269504
197	7.057454862
198	7.052278824
199	7.048776599
200	7.047441731
201	7.046110232
202	7.043377691
203	7.036892528
204	7.033009595
205	7.026962465
206	7.020987145
207	7.01825359
208	7.014072515
209	7.008247179
210	7.001503436
211	6.999856298
212	6.998210578
213	6.993434049
214	6.986651704
215	6.984216906
216	6.981787944
217	6.974376791
218	6.966465375
219	6.96076514
220	6.958128214
221	6.951766138
222	6.950255674
223	6.944258267
224	6.936953102
225	6.934679309
226	6.93245502
227	6.930896077
228	6.927035009
229	6.924600931
230	6.918712302
231	6.916284176
232	6.912088803
233	6.907044627
234	6.899938358
235	6.89336975
236	6.891063376
237	6.889395785
238	6.887124709
239	6.884601807
240	6.881588716
241	6.880210725
242	6.8783344
243	6.872143602
244	6.870801376
245	6.869619036
246	6.867973099
247	6.865643023
248	6.864455433
249	6.857752926
250	6.856310334
251	6.854445507
252	6.852702154
253	6.84551141
254	6.8377129
255	6.836592817
256	6.831576857
257	6.82905318
258	6.828008243
259	6.821967638
260	6.817398466
261	6.815260288
262	6.814039178
263	6.811101341
264	6.809951734
265	6.802383605
266	6.798808906
267	6.797846184
268	6.790435472
269	6.787329772
270	6.782047756
271	6.781013937
272	6.774031842
273	6.763480957
274	6.758132359
275	6.755369062
276	6.753211295
277	6.751692091
278	6.744854502
279	6.739731353
280	6.735260121
281	6.731949185
282	6.730983677
283	6.730050779
284	6.726479749
