iter	Passed	Remaining
0	140	140648
1	144	72078
2	148	49214
3	151	37778
4	153	30579
5	155	25736
6	157	22283
7	158	19692
8	161	17764
9	163	16169
10	164	14808
11	166	13719
12	167	12726
13	169	11928
14	171	11262
15	173	10654
16	174	10113
17	176	9631
18	178	9198
19	179	8804
20	181	8450
21	182	8128
22	184	7826
23	185	7563
24	187	7315
25	189	7085
26	190	6870
27	192	6671
28	193	6484
29	195	6311
30	196	6157
31	198	6007
32	200	5865
33	201	5730
34	203	5604
35	204	5484
36	206	5369
37	207	5261
38	209	5164
39	211	5071
40	212	4978
41	214	4890
42	215	4790
43	216	4708
44	218	4628
45	219	4560
46	221	4490
47	222	4420
48	224	4356
49	227	4314
50	228	4252
51	230	4195
52	231	4139
53	233	4084
54	234	4031
55	236	3981
56	237	3933
57	238	3880
58	240	3834
59	241	3789
60	243	3745
61	244	3703
62	246	3662
63	247	3622
64	249	3590
65	250	3551
66	252	3515
67	254	3482
68	255	3448
69	256	3414
70	258	3381
71	259	3345
72	261	3314
73	262	3285
74	264	3258
75	265	3229
76	267	3201
77	268	3171
78	269	3145
79	271	3121
80	272	3095
81	274	3071
82	275	3047
83	277	3028
84	279	3010
85	281	2989
86	283	2970
87	284	2949
88	286	2929
89	287	2911
90	289	2890
91	290	2865
92	292	2853
93	293	2831
94	295	2812
95	296	2793
96	298	2775
97	299	2757
98	301	2741
99	302	2723
100	304	2707
101	306	2698
102	308	2690
103	310	2676
104	312	2661
105	313	2639
106	314	2624
107	316	2613
108	318	2599
109	319	2586
110	320	2569
111	322	2556
112	323	2542
113	325	2529
114	326	2516
115	328	2502
116	329	2489
117	332	2485
118	334	2474
119	335	2462
120	337	2451
121	339	2440
122	340	2426
123	342	2416
124	343	2407
125	345	2399
126	347	2389
127	349	2379
128	351	2370
129	352	2360
130	354	2352
131	356	2343
132	358	2335
133	360	2326
134	361	2318
135	363	2310
136	365	2301
137	367	2293
138	368	2283
139	370	2274
140	371	2266
141	373	2256
142	374	2247
143	376	2236
144	377	2227
145	379	2217
146	380	2208
147	382	2199
148	383	2190
149	384	2181
150	386	2172
151	387	2164
152	389	2155
153	390	2146
154	392	2138
155	393	2130
156	395	2122
157	396	2115
158	398	2107
159	400	2100
160	401	2092
161	403	2084
162	404	2077
163	406	2070
164	407	2064
165	409	2057
166	411	2050
167	412	2042
168	414	2036
169	415	2029
170	417	2022
171	418	2015
172	420	2009
173	421	2002
174	423	1995
175	425	1990
176	426	1984
177	428	1977
178	429	1970
179	431	1964
180	432	1957
181	434	1951
182	435	1945
183	437	1939
184	439	1934
185	441	1930
186	442	1924
187	444	1918
188	445	1911
189	446	1905
190	448	1899
191	449	1893
192	451	1887
193	453	1882
194	455	1879
195	456	1872
196	457	1866
197	459	1860
198	460	1854
199	462	1849
200	463	1843
201	465	1838
202	466	1833
203	468	1828
204	470	1822
205	471	1817
206	472	1811
207	474	1806
208	475	1801
209	477	1795
210	478	1790
211	480	1786
212	482	1781
213	483	1776
214	485	1771
215	486	1766
216	488	1761
217	489	1755
218	490	1750
219	492	1746
220	494	1742
221	495	1737
222	497	1732
223	498	1728
224	500	1723
225	501	1718
226	503	1713
227	504	1708
228	505	1703
229	507	1700
230	509	1695
231	510	1691
232	512	1687
233	514	1682
234	515	1678
235	517	1673
236	518	1669
237	519	1664
238	521	1661
239	523	1658
240	525	1653
241	526	1649
242	528	1645
243	529	1641
244	531	1637
245	532	1633
246	534	1629
247	535	1624
248	537	1620
249	538	1616
250	540	1612
251	541	1608
252	543	1604
253	544	1600
254	546	1596
255	548	1592
256	549	1588
257	551	1584
258	552	1580
259	554	1576
260	555	1573
261	557	1568
262	558	1564
263	559	1560
264	561	1558
265	563	1554
266	564	1550
267	566	1546
268	567	1542
269	569	1538
270	570	1535
271	572	1531
272	573	1527
